Subject;Group;TrialID;Eye;Training;Emotion;Target Name;Target Position;Correct position;Errors;First saccade RT;First saccade start gaze position;First saccade ending gaze position;First saccade duration;First blink type;Threshold excess;First saccade RT_sorting
12;SAS;1;R;Test;Negative;Neg_masquegas3;Gauche;Left;0;206;(532.6, 370.0);(266.4, 360.0);56;No blink;NO;Normal First saccade RT value
12;SAS;2;R;Test;Neutral;Neu_asperges4;Gauche;Left;0;248;(522.2, 376.9);(277.2, 357.6);42;No blink;NO;Deviant First saccade RT 3 SD
12;SAS;3;R;Test;Neutral;Neu_tuyau1;Gauche;Left;0;217;(522.4, 374.2);(229.9, 383.3);60;No blink;NO;Deviant First saccade RT 2 SD
12;SAS;4;R;Test;Negative;Neg_cheval2;Gauche;Left;0;163;(516.4, 373.2);(303.0, 344.4);52;No blink;NO;Normal First saccade RT value
12;SAS;5;R;Test;Positive;P_framboise2;Gauche;Left;0;188;(528.1, 381.3);(294.8, 383.0);54;No blink;NO;Normal First saccade RT value
12;SAS;6;R;Test;Positive;P_mainbebe2;Droite;Right;0;134;(512.7, 377.3);(780.2, 372.7);54;No blink;NO;Normal First saccade RT value
12;SAS;7;R;Test;Neutral;Neu_skateboard1;Gauche;Left;0;146;(520.4, 382.3);(273.2, 380.8);58;No blink;NO;Normal First saccade RT value
12;SAS;8;R;Test;Positive;P_cerise4;Droite;Right;0;133;(512.9, 376.9);(754.6, 386.2);52;No blink;NO;Normal First saccade RT value
12;SAS;9;R;Test;Neutral;Neu_balene2;Droite;Right;0;192;(517.5, 377.9);(798.1, 384.5);60;No blink;NO;Normal First saccade RT value
12;SAS;10;R;Test;Neutral;Neu_oeuf1;Droite;Right;0;124;(519.6, 379.1);(769.2, 384.6);52;No blink;NO;Normal First saccade RT value
12;SAS;11;R;Test;Positive;P_lapin1;Gauche;Left;0;186;(516.9, 374.8);(290.7, 371.1);54;No blink;NO;Normal First saccade RT value
12;SAS;12;R;Test;Positive;P_chien3;Droite;Right;0;120;(512.5, 380.1);(772.4, 353.8);54;No blink;NO;Normal First saccade RT value
12;SAS;13;R;Test;Negative;Neg_mitraillette2;Droite;Right;0;254;(499.1, 371.6);(833.2, 359.2);48;No blink;NO;Deviant First saccade RT 3 SD
12;SAS;14;R;Test;Positive;P_pommedamour2;Gauche;Left;0;170;(511.6, 378.9);(282.2, 410.9);54;No blink;NO;Normal First saccade RT value
12;SAS;15;R;Test;Negative;Neg_tanc1;Gauche;Left;Micro saccade;118;(513.6, 378.3);(554.1, 376.1);46;No blink;NO;First saccade RT not relevant
12;SAS;16;R;Test;Negative;Neg_cafard1;Gauche;Left;0;179;(515.6, 377.1);(288.3, 401.7);54;No blink;NO;Normal First saccade RT value
12;SAS;17;R;Test;Neutral;Neu_oignon3;Gauche;Left;0;140;(513.6, 378.7);(325.5, 382.3);50;No blink;NO;Normal First saccade RT value
12;SAS;18;R;Test;Positive;P_poussin1;Droite;Right;0;126;(515.5, 377.3);(754.0, 365.3);54;No blink;NO;Normal First saccade RT value
12;SAS;19;R;Test;Neutral;Neu_taillecrayon1;Gauche;Left;0;116;(514.8, 370.8);(305.3, 358.8);54;No blink;NO;Normal First saccade RT value
12;SAS;20;R;Test;Negative;Neg_poisson11;Gauche;Left;0;139;(515.5, 384.3);(291.4, 376.9);56;No blink;NO;Normal First saccade RT value
12;SAS;21;R;Test;Neutral;Neu_palmes2;Gauche;Left;0;170;(511.4, 380.8);(289.4, 365.7);54;No blink;NO;Normal First saccade RT value
12;SAS;22;R;Test;Neutral;Neu_pantoufle2;Droite;Right;0;130;(519.0, 375.3);(772.0, 376.6);52;No blink;NO;Normal First saccade RT value
12;SAS;23;R;Test;Negative;Neg_toilette4;Droite;Right;0;132;(519.9, 383.0);(735.9, 387.4);56;No blink;NO;Normal First saccade RT value
12;SAS;24;R;Test;Negative;Neg_bombe2;Gauche;Left;0;120;(523.1, 376.6);(324.8, 357.8);56;No blink;NO;Normal First saccade RT value
12;SAS;25;R;Test;Negative;Neg_orange3;Droite;Right;0;104;(527.8, 379.8);(764.8, 373.9);52;No blink;NO;Normal First saccade RT value
12;SAS;26;R;Test;Positive;P_violin1;Droite;Right;0;194;(516.9, 372.6);(757.9, 368.8);54;No blink;NO;Normal First saccade RT value
12;SAS;27;R;Test;Positive;P_donut2;Droite;Right;0;138;(519.6, 376.9);(742.7, 371.6);52;No blink;NO;Normal First saccade RT value
12;SAS;28;R;Test;Negative;Neg_araignee3;Droite;Right;0;137;(522.3, 377.8);(761.9, 364.7);50;No blink;NO;Normal First saccade RT value
12;SAS;29;R;Test;Positive;P_robe2;Gauche;Left;0;150;(523.2, 380.0);(262.3, 388.3);58;No blink;NO;Normal First saccade RT value
12;SAS;30;R;Test;Negative;Neg_hache3;Droite;Right;0;110;(516.7, 384.3);(786.2, 370.5);66;No blink;NO;Normal First saccade RT value
12;SAS;31;R;Test;Neutral;Neu_telephone1;Droite;Right;0;142;(512.4, 369.0);(730.3, 367.5);58;No blink;NO;Normal First saccade RT value
12;SAS;32;R;Test;Positive;P_sapphire1;Gauche;Left;0;124;(523.1, 372.6);(281.7, 365.6);56;No blink;NO;Normal First saccade RT value
12;SAS;33;R;Test;Neutral;Neu_triciclette2;Droite;Right;0;102;(526.0, 375.6);(758.3, 380.6);50;No blink;NO;Normal First saccade RT value
12;SAS;34;R;Test;Positive;P_muffin1;Gauche;Left;0;108;(515.4, 370.8);(281.6, 354.5);56;No blink;NO;Normal First saccade RT value
12;SAS;35;R;Test;Negative;Neg_menottes5;Droite;Right;0;176;(533.9, 377.6);(791.9, 365.1);60;No blink;NO;Normal First saccade RT value
12;SAS;36;R;Test;Neutral;Neu_petancle1;Droite;Right;0;148;(517.5, 382.0);(725.7, 399.9);58;No blink;NO;Normal First saccade RT value
12;SAS;37;R;Test;Positive;P_peche1;Gauche;Left;0;147;(512.8, 382.8);(284.5, 378.0);54;No blink;NO;Normal First saccade RT value
12;SAS;38;R;Test;Negative;Neg_cochontete2;Gauche;Left;0;178;(511.6, 381.4);(282.9, 377.2);56;No blink;NO;Normal First saccade RT value
12;SAS;39;R;Test;Neutral;Neu_table1;Gauche;Left;0;166;(512.4, 384.8);(315.1, 382.1);54;No blink;NO;Normal First saccade RT value
12;SAS;40;R;Test;Negative;Neg_pain1;Gauche;Left;0;170;(512.2, 384.1);(320.8, 373.5);50;No blink;NO;Normal First saccade RT value
12;SAS;41;R;Test;Positive;P_bonbons1;Droite;Right;0;148;(524.8, 378.0);(777.2, 367.4);60;No blink;NO;Normal First saccade RT value
12;SAS;42;R;Test;Neutral;Neu_velo1;Droite;Right;0;142;(518.5, 379.0);(775.7, 368.1);54;No blink;NO;Normal First saccade RT value
