Subject;Group;TrialID;Eye;Semantic relation;Target Name;Correct response;Errors;Response time;Total fixation time on ROIs;Average fixation duration on ROIs;Total number of saccades;Total number of revisits;First blink type
1;BG;1;R;Control;12;12 + 9 = 21;0;28029;5567;231.95833333333334;87;19;Late
1;BG;2;R;Functional;15;23 + 6 = 29;0;22657;8135;677.9166666666666;65;7;Late
1;BG;3;R;Functional;6;13 - 5 = 8;0;20039;5398;299.8888888888889;67;12;Late
1;BG;4;R;Collateral;13;25 + 7 = 32;0;12546;2341;260.1111111111111;39;4;Late
1;BG;5;R;Collateral;2;23 - 8 = 15;0;8984;2181;311.57142857142856;35;3;Late
1;BG;6;R;Functional;8;18 + 11 = 29;0;9565;2530;316.25;34;3;Late
1;BG;7;R;Control;10;12 - 4 = 8;0;7524;429;214.5;26;1;Late
1;BG;8;R;Functional;16;15 - 7 = 8;0;7741;3248;541.3333333333334;24;2;Late
1;BG;9;R;Collateral;3;18 + 6 = 24;Anticipation saccade;9504;3067;383.375;33;4;Late
1;BG;10;R;Functional;5;25 - 9 = 16;0;9047;3535;353.5;34;5;Late
1;BG;11;R;Collateral;14;23 - 9 = 14;0;11114;6196;563.2727272727273;30;7;Late
1;BG;12;R;Control;18;12 - 6 = 6;0;4722;658;164.5;21;2;Late
1;BG;13;R;Collateral;1;17 - 6 = 11;0;8098;1219;174.14285714285714;32;3;Late
1;BG;14;R;Functional;7;17 + 5 = 22;0;6366;2107;301.0;24;2;Late
1;BG;15;R;Control;17;17 + 5 = 22;0;6363;2148;306.85714285714283;20;3;Late
1;BG;16;R;Collateral;4;15 + 6 = 21;0;8546;2752;250.1818181818182;33;6;Late
1;BG;17;R;Control;11;16 + 7 = 23;0;9740;3293;411.625;36;3;Late
1;BG;18;R;Control;9;24 - 7 = 17;0;8772;3391;678.2;27;1;Late
2;BG;1;R;Control;12;12 + 9 = 21;0;20064;5992;249.66666666666666;78;19;Late
2;BG;2;R;Functional;15;23 + 6 = 29;0;19816;8859;402.6818181818182;73;17;Late
2;BG;3;R;Functional;6;13 - 5 = 8;0;11632;3385;260.38461538461536;46;8;Late
2;BG;4;R;Collateral;13;25 + 7 = 32;0;9545;3394;261.0769230769231;41;8;Late
2;BG;5;R;Collateral;2;23 - 8 = 15;0;10547;3645;280.38461538461536;48;9;Late
2;BG;6;R;Functional;8;18 + 11 = 29;0;9273;2946;245.5;38;7;Late
2;BG;7;R;Control;10;12 - 4 = 8;0;8322;1795;224.375;36;4;Late
2;BG;8;R;Functional;16;15 - 7 = 8;0;11797;4799;266.6111111111111;51;13;Late
2;BG;9;R;Collateral;3;18 + 6 = 24;0;11515;4771;340.7857142857143;49;8;Late
2;BG;10;R;Functional;5;25 - 9 = 16;0;11352;6097;290.3333333333333;45;16;Late
2;BG;11;R;Collateral;14;23 - 9 = 14;0;13599;4560;350.7692307692308;48;8;Late
2;BG;12;R;Control;18;12 - 6 = 6;0;8010;3799;237.4375;36;12;Late
2;BG;13;R;Collateral;1;17 - 6 = 11;0;11445;2480;248.0;51;5;Late
2;BG;14;R;Functional;7;17 + 5 = 22;0;9940;3797;237.3125;40;11;Late
2;BG;15;R;Control;17;17 + 5 = 22;0;8758;3460;432.5;37;4;Late
2;BG;16;R;Collateral;4;15 + 6 = 21;0;8891;1670;238.57142857142858;34;4;Late
2;BG;17;R;Control;11;16 + 7 = 23;0;12139;5107;364.7857142857143;45;10;Late
2;BG;18;R;Control;9;24 - 7 = 17;0;13394;5698;356.125;41;12;Late
3;BG;1;R;Control;12;12 + 9 = 21;0;27374;4180;380.0;80;6;Late
3;BG;2;R;Functional;15;23 + 6 = 29;0;6734;874;174.8;21;1;Late
3;BG;3;R;Functional;6;13 - 5 = 8;0;11067;2374;237.4;46;7;Late
3;BG;4;R;Collateral;13;25 + 7 = 32;0;6545;1913;318.8333333333333;24;2;Late
3;BG;5;R;Collateral;2;23 - 8 = 15;0;9461;3128;347.55555555555554;29;5;Late
3;BG;6;R;Functional;8;18 + 11 = 29;0;6093;1295;259.0;20;2;Late
3;BG;7;R;Control;10;12 - 4 = 8;0;6947;1212;202.0;28;2;No blink
3;BG;8;R;Functional;16;15 - 7 = 8;Anticipation saccade;7170;1701;340.2;27;1;Late
3;BG;9;R;Collateral;3;18 + 6 = 24;0;11032;4402;366.8333333333333;40;7;Late
3;BG;10;R;Functional;5;25 - 9 = 16;0;7184;2125;265.625;23;2;Late
3;BG;11;R;Collateral;14;23 - 9 = 14;0;7141;980;196.0;27;0;Late
3;BG;12;R;Control;18;12 - 6 = 6;0;5096;1978;282.57142857142856;19;2;Late
3;BG;13;R;Collateral;1;17 - 6 = 11;0;6354;2103;262.875;24;3;Late
3;BG;14;R;Functional;7;17 + 5 = 22;0;7215;2202;275.25;30;4;Late
3;BG;15;R;Control;17;17 + 5 = 22;0;4382;869;289.6666666666667;16;0;Late
3;BG;16;R;Collateral;4;15 + 6 = 21;0;7544;1669;238.42857142857142;30;2;No blink
3;BG;17;R;Control;11;16 + 7 = 23;0;6237;2683;670.75;17;2;Late
3;BG;18;R;Control;9;24 - 7 = 17;0;7574;1609;321.8;29;2;Late
