## [iView]
## Converted from:	C:\Users\Jessica\Desktop\Manip SMI\Tests\Oeil droit\subject-23.idf
## Date:	21.03.2017 17:15:00
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	250
## Separator Type:	Unknown
## Trial Count:	126
## Uses Plane File:	False
## Number of Samples:	42160                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	participant                                                                                                                                                                                                                                                     
## Description:	experiment                                                                                                                                                                                                                                                      
## [Calibration]
## Calibration Type:	9-point
## Calibration Area:	1366	768
## Calibration Point 0:	Position(684;385)
## Calibration Point 1:	Position(68;38)
## Calibration Point 2:	Position(1300;38)
## Calibration Point 3:	Position(68;732)
## Calibration Point 4:	Position(1300;732)
## Calibration Point 5:	Position(68;385)
## Calibration Point 6:	Position(684;38)
## Calibration Point 7:	Position(1300;385)
## Calibration Point 8:	Position(684;732)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IRX0940001-1426
## Operating System :	6.1
## iView X Version:	2.8.26
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	R POR X [px]	R POR Y [px]	Frame	Aux1
413016886	MSG	1	# Message: Starting wait for fixation period
413017349	SMP	1	679.37	418.79		
413018638	MSG	1	# Message: stop_fixation
413018659	MSG	1	# Message: start_trial 0 C:\Users\Jessica\Desktop\Manip SMI\Images_finales\face1.png
413021317	SMP	1	678.66	417.38		
413025279	SMP	1	678.30	416.95		
413029289	SMP	1	679.41	417.14		
413033328	SMP	1	679.81	415.46		
413037313	SMP	1	681.08	414.18		
413041286	SMP	1	681.65	413.29		
413045305	SMP	1	683.20	410.68		
413049308	SMP	1	684.81	410.78		
413053280	SMP	1	685.80	410.01		
413057275	SMP	1	686.98	407.28		
413061314	SMP	1	688.25	405.85		
413065310	SMP	1	689.91	403.59		
413069301	SMP	1	690.93	402.31		
413073286	SMP	1	691.59	399.69		
413077289	SMP	1	692.26	399.19		
413081317	SMP	1	692.30	396.00		
413085298	SMP	1	693.08	396.28		
413089278	SMP	1	693.81	398.09		
413093286	SMP	1	693.67	398.74		
413097317	SMP	1	693.38	401.34		
413101298	SMP	1	694.01	400.10		
413105277	SMP	1	693.58	400.04		
413109281	SMP	1	693.40	398.86		
413113347	SMP	1	692.70	400.56		
413117306	SMP	1	694.36	401.66		
413121277	SMP	1	693.19	405.69		
413125285	SMP	1	693.01	409.20		
413129309	SMP	1	691.98	411.54		
413133345	SMP	1	690.47	411.76		
413137281	SMP	1	689.32	414.62		
413141297	SMP	1	688.63	414.02		
413145314	SMP	1	687.01	416.48		
413149307	SMP	1	685.84	417.60		
413153276	SMP	1	684.58	417.86		
413157278	SMP	1	684.27	418.25		
413161307	SMP	1	681.36	419.96		
413165303	SMP	1	680.59	420.01		
413169279	SMP	1	679.88	418.16		
413173313	SMP	1	679.68	417.63		
413177307	SMP	1	679.44	416.85		
413181293	SMP	1	679.05	414.87		
413185284	SMP	1	679.83	414.57		
413189288	SMP	1	679.66	413.29		
413193281	SMP	1	678.90	411.61		
413197315	SMP	1	679.24	415.06		
413201281	SMP	1	679.88	412.40		
413205280	SMP	1	681.25	411.49		
413209282	SMP	1	682.46	411.50		
